Area_Type,Area Name,Date,Year,Month,Seasonally Adjusted (Y/N),Status (Preliminary / Final),Labor Force,Employment,Unemployment,Unemployment Rate 
State,California,01/01/2020,2020,January,Y,Preliminary,19437100,18613300,823800,0.042
County,Los Angeles County,01/01/2020,2020,January,Y,Preliminary,5192900,4942900,250000,0.048
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,01/01/2020,2020,January,Y,Preliminary,5192900,4942900,250000,0.048
State,California,02/01/2020,2020,February,Y,Preliminary,19433000,18587800,845300,0.043
County,Los Angeles County,02/01/2020,2020,February,Y,Preliminary,5197900,4939700,258200,0.05
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,02/01/2020,2020,February,Y,Preliminary,5197900,4939700,258200,0.05
State,California,02/01/2021,2021,February,Y,Preliminary,18944500,17334300,1610200,0.085
County,Los Angeles County,02/01/2021,2021,February,Y,Preliminary,5118600,4531300,587300,0.115
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,02/01/2021,2021,February,Y,Preliminary,5118600,4531300,587300,0.115
State,California,03/01/2020,2020,March,Y,Preliminary,19168700,18304600,864100,0.045
County,Los Angeles County,03/01/2020,2020,March,Y,Preliminary,4938800,4673300,265500,0.054000000000000006
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,03/01/2020,2020,March,Y,Preliminary,4938800,4673300,265500,0.054000000000000006
State,California,04/01/2020,2020,April,Y,Preliminary,18590900,15624400,2966400,0.16
County,Los Angeles County,04/01/2020,2020,April,Y,Preliminary,4789100,3911600,877500,0.183
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,04/01/2020,2020,April,Y,Preliminary,4789100,3911600,877500,0.183
State,California,05/01/2020,2020,May,Y,Preliminary,18392500,15529300,2863200,0.156
County,Los Angeles County,05/01/2020,2020,May,Y,Preliminary,4674100,3796300,877700,0.188
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,05/01/2020,2020,May,Y,Preliminary,4674100,3796300,877700,0.188
State,California,06/01/2020,2020,June,Y,Preliminary,18813100,16161000,2652100,0.141
County,Los Angeles County,06/01/2020,2020,June,Y,Preliminary,4882200,4009900,872300,0.179
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,06/01/2020,2020,June,Y,Preliminary,4882200,4009900,872300,0.179
State,California,07/01/2020,2020,July,Y,Preliminary,18731500,16268000,2463500,0.132
County,Los Angeles County,07/01/2020,2020,July,Y,Preliminary,4923500,4061500,862000,0.175
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,07/01/2020,2020,July,Y,Preliminary,4923500,4061500,862000,0.175
State,California,08/01/2020,2020,August,Y,Preliminary,18666700,16365300,2301300,0.12300000000000001
County,Los Angeles County,08/01/2020,2020,August,Y,Preliminary,4956500,4106300,850300,0.172
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,08/01/2020,2020,August,Y,Preliminary,4956500,4106300,850300,0.172
State,California,09/01/2020,2020,September,Y,Preliminary,18385600,16435500,1950100,0.106
County,Los Angeles County,09/01/2020,2020,September,Y,Preliminary,4757400,4139000,618400,0.13
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,09/01/2020,2020,September,Y,Preliminary,4757400,4139000,618400,0.13
State,California,10/01/2020,2020,October,Y,Preliminary,18904600,17050300,1854400,0.098
County,Los Angeles County,10/01/2020,2020,October,Y,Preliminary,4959200,4346100,613100,0.124
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,10/01/2020,2020,October,Y,Preliminary,4959200,4346100,613100,0.124
State,California,11/01/2020,2020,November,Y,Preliminary,18604600,16983900,1620700,0.087
County,Los Angeles County,11/01/2020,2020,November,Y,Preliminary,4897800,4284500,613400,0.125
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,11/01/2020,2020,November,Y,Preliminary,4897800,4284500,613400,0.125
State,California,12/01/2020,2020,December,Y,Preliminary,18705500,16957000,1748500,0.09300000000000001
County,Los Angeles County,12/01/2020,2020,December,Y,Preliminary,4878900,4264000,614900,0.126
Metropolitan Area,Los Angeles-Long Beach-Glendale MD,12/01/2020,2020,December,Y,Preliminary,4878900,4264000,614900,0.126
